,acc,loss,lr,val_acc,val_loss
0,0.600000011920929,0.7027411013841629,1.0,0.6666666785875957,0.5999597370624542
1,0.6800000160932541,0.5793031603097916,1.0,0.746666677792867,0.47903037667274473
2,0.7400000154972076,0.4793734163045883,1.0,0.6733333463470141,0.6732973145941893
3,0.8600000083446503,0.31807234287261965,1.0,0.7733333438634873,0.4433123032251994
4,0.9000000059604645,0.30285457521677017,1.0,0.7866666773955028,0.3925637741883596
5,0.800000011920929,0.37346115447580813,1.0,0.7466666758060455,0.4330792019764582
6,0.8400000095367431,0.24300189539790154,1.0,0.7666666775941848,0.48227011896669864
7,0.8400000095367431,0.3065804410725832,1.0,0.7866666783889135,0.39377927059928575
8,0.8600000083446503,0.23446428440511227,1.0,0.7666666775941848,0.44410521586736046
9,0.8200000107288361,0.27631353959441185,1.0,0.7466666748126348,0.4064403706540664
10,0.9000000059604645,0.2759251555427909,1.0,0.7200000102321307,0.49354640108843645
11,0.8800000071525573,0.2764268644154072,1.0,0.7400000100334485,0.41214446909725666
12,0.8400000095367431,0.21475782957859338,1.0,0.8066666752099991,0.3754968791579207
13,0.840000006556511,0.2999520402401686,1.0,0.7866666754086812,0.3955662976950407
14,0.8600000083446503,0.2234628763049841,1.0,0.773333344856898,0.4576189063489437
15,0.8600000083446503,0.24499005554243922,1.0,0.7133333444595337,0.46136977535982926
16,0.9000000059604645,0.2247092669364065,1.0,0.7800000101327896,0.4107523104796807
17,0.9000000059604645,0.17787033240310848,1.0,0.7066666771968205,0.4780904134735465
18,0.8800000071525573,0.20528985965065658,1.0,0.713333343466123,0.4865659854685267
19,0.8800000041723252,0.2142188786994666,1.0,0.8466666758060455,0.34328346693267425
20,0.8800000071525573,0.18496567714028062,1.0,0.7733333438634873,0.4500665158033371
21,0.9200000047683716,0.1821080191875808,1.0,0.7066666771968205,0.5159231763333082
22,0.8200000077486038,0.22260373551398516,1.0,0.773333344856898,0.4731678856536746
23,0.9200000047683716,0.17599946479313075,1.0,0.8400000085433325,0.33418265990912915
24,0.9400000035762787,0.1277666512876749,1.0,0.773333344856898,0.5032233615405858
25,0.9000000059604645,0.2097853297367692,1.0,0.8800000071525573,0.3060740204527974
26,0.9200000047683716,0.15012779971584678,1.0,0.8666666736205418,0.3045359299207727
27,0.9000000059604645,0.19878473483258857,1.0,0.7333333437641462,0.4335015478854378
28,0.9200000047683716,0.16811748840846122,1.0,0.8000000089406967,0.3604656718671322
29,0.9000000059604645,0.1963990181684494,1.0,0.8533333410819371,0.32669209223240614
30,0.9600000023841858,0.09044465566985309,1.0,0.7933333436648051,0.4381466859330734
31,0.8800000071525573,0.23183132443555224,1.0,0.8066666752099991,0.3723247612826526
32,0.9600000023841858,0.09715775866061449,1.0,0.8066666762034098,0.3743314816306035
33,0.9600000023841858,0.10284415411297232,1.0,0.853333342075348,0.34087594974165164
34,0.9400000035762787,0.12129539962625131,1.0,0.846666673819224,0.3457730197813362
35,1.0,0.05131547795026563,1.0,0.8800000061591466,0.2949031074220935
36,0.9800000011920929,0.06762359433050733,1.0,0.846666673819224,0.3535520994725327
37,0.9200000047683716,0.17525936738820747,1.0,0.9200000047683716,0.26380920762506627
